Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9711,0.9562,0.9567,0.9563
neft,5,0.9708,0.9294,0.9561,0.9194
neft,10,0.9702,0.9228,0.9537,0.9127
neft,15,0.9718,0.9441,0.9616,0.9328
neft,20,0.9727,0.9497,0.9617,0.9414
neft,25,0.9724,0.9538,0.9623,0.9474
neft,30,0.9723,0.9511,0.9606,0.9441
neft,35,0.9730,0.9531,0.9629,0.9456
neft,40,0.9708,0.9352,0.9601,0.9237
neft,45,0.9726,0.9585,0.9604,0.9574
neft,50,0.9719,0.9562,0.9575,0.9555
probeless,5,0.9700,0.9241,0.9547,0.9141
probeless,10,0.9723,0.9591,0.9613,0.9574
probeless,15,0.9730,0.9600,0.9644,0.9567
probeless,20,0.9716,0.9523,0.9558,0.9500
probeless,25,0.9724,0.9613,0.9646,0.9586
probeless,30,0.9717,0.9588,0.9608,0.9573
probeless,35,0.9710,0.9268,0.9639,0.9152
probeless,40,0.9715,0.9571,0.9604,0.9545
probeless,45,0.9721,0.9487,0.9576,0.9424
probeless,50,0.9721,0.9567,0.9588,0.9553
