Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9752,0.4985,0.4846,0.5137
neft,5,0.9770,0.5787,0.6002,0.5673
neft,10,0.9801,0.5622,0.5715,0.5570
neft,15,0.9789,0.5918,0.6146,0.5817
neft,20,0.9793,0.5575,0.5687,0.5644
neft,25,0.9749,0.5870,0.5643,0.6530
neft,30,0.9801,0.5849,0.6632,0.5601
neft,35,0.9786,0.5840,0.5632,0.6674
neft,40,0.9795,0.5410,0.5293,0.5623
neft,45,0.9784,0.5236,0.5266,0.5348
neft,50,0.9799,0.5584,0.5749,0.5474
probeless,5,0.9793,0.5473,0.5521,0.5451
probeless,10,0.9768,0.5374,0.5425,0.5347
probeless,15,0.9786,0.5613,0.6323,0.5292
probeless,20,0.9811,0.5592,0.5614,0.5578
probeless,25,0.9782,0.5676,0.6214,0.5517
probeless,30,0.9780,0.5378,0.5352,0.5445
probeless,35,0.9809,0.6340,0.6034,0.7048
probeless,40,0.9789,0.5306,0.5481,0.5222
probeless,45,0.9797,0.5705,0.6225,0.5569
probeless,50,0.9786,0.5877,0.5570,0.6710
