Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9617,0.9572,0.9575,0.9574
neft,5,0.9620,0.9573,0.9576,0.9573
neft,10,0.9623,0.9584,0.9582,0.9588
neft,15,0.9615,0.9568,0.9575,0.9565
neft,20,0.9620,0.9568,0.9577,0.9561
neft,25,0.9635,0.9610,0.9604,0.9618
neft,30,0.9625,0.9579,0.9590,0.9571
neft,35,0.9640,0.9597,0.9604,0.9593
neft,40,0.9595,0.9433,0.9578,0.9334
neft,45,0.9638,0.9602,0.9604,0.9603
neft,50,0.9629,0.9595,0.9617,0.9574
probeless,5,0.9613,0.9567,0.9548,0.9591
probeless,10,0.9611,0.9560,0.9560,0.9564
probeless,15,0.9607,0.9572,0.9583,0.9563
probeless,20,0.9632,0.9594,0.9592,0.9600
probeless,25,0.9625,0.9576,0.9595,0.9558
probeless,30,0.9626,0.9588,0.9588,0.9590
probeless,35,0.9616,0.9568,0.9598,0.9541
probeless,40,0.9626,0.9581,0.9614,0.9552
probeless,45,0.9620,0.9571,0.9560,0.9585
probeless,50,0.9607,0.9572,0.9563,0.9584
