Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9235,0.8479,0.8457,0.8541
neft,5,0.9207,0.8482,0.8458,0.8508
neft,10,0.9259,0.8566,0.8557,0.8578
neft,15,0.9269,0.8560,0.8635,0.8509
neft,20,0.9215,0.8484,0.8496,0.8494
neft,25,0.9199,0.8463,0.8409,0.8556
neft,30,0.9263,0.8575,0.8510,0.8660
neft,35,0.9227,0.8513,0.8503,0.8525
neft,40,0.9244,0.8520,0.8548,0.8496
neft,45,0.9181,0.8403,0.8334,0.8521
neft,50,0.9226,0.8481,0.8599,0.8408
probeless,5,0.9225,0.8429,0.8400,0.8483
probeless,10,0.9229,0.8526,0.8491,0.8566
probeless,15,0.9210,0.8445,0.8530,0.8400
probeless,20,0.9241,0.8523,0.8525,0.8543
probeless,25,0.9231,0.8549,0.8464,0.8641
probeless,30,0.9264,0.8580,0.8590,0.8571
probeless,35,0.9251,0.8544,0.8554,0.8553
probeless,40,0.9288,0.8594,0.8652,0.8551
probeless,45,0.9233,0.8528,0.8471,0.8593
probeless,50,0.9211,0.8459,0.8418,0.8534
