Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9827,0.9463,0.9416,0.9524
neft,5,0.9830,0.9464,0.9415,0.9533
neft,10,0.9821,0.9430,0.9442,0.9423
neft,15,0.9837,0.9476,0.9436,0.9528
neft,20,0.9821,0.9319,0.9316,0.9328
neft,25,0.9837,0.9465,0.9434,0.9515
neft,30,0.9826,0.9381,0.9290,0.9511
neft,35,0.9832,0.9418,0.9470,0.9373
neft,40,0.9816,0.9393,0.9413,0.9374
neft,45,0.9835,0.9453,0.9459,0.9466
neft,50,0.9822,0.9375,0.9350,0.9413
probeless,5,0.9824,0.9363,0.9366,0.9363
probeless,10,0.9828,0.9379,0.9358,0.9421
probeless,15,0.9838,0.9472,0.9492,0.9475
probeless,20,0.9823,0.9401,0.9398,0.9409
probeless,25,0.9836,0.9455,0.9413,0.9515
probeless,30,0.9828,0.9414,0.9510,0.9347
probeless,35,0.9835,0.9478,0.9472,0.9501
probeless,40,0.9832,0.9467,0.9441,0.9507
probeless,45,0.9833,0.9477,0.9457,0.9508
probeless,50,0.9836,0.9431,0.9452,0.9411
