Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9508,0.9295,0.9309,0.9285
neft,5,0.9494,0.9277,0.9277,0.9279
neft,10,0.9485,0.9257,0.9270,0.9248
neft,15,0.9487,0.9262,0.9254,0.9273
neft,20,0.9505,0.9283,0.9289,0.9279
neft,25,0.9481,0.9248,0.9250,0.9249
neft,30,0.9451,0.9204,0.9220,0.9192
neft,35,0.9487,0.9262,0.9268,0.9261
neft,40,0.9505,0.9294,0.9305,0.9285
neft,45,0.9461,0.9234,0.9252,0.9221
neft,50,0.9464,0.9230,0.9226,0.9235
probeless,5,0.9459,0.9227,0.9229,0.9229
probeless,10,0.9389,0.9135,0.9121,0.9154
probeless,15,0.9543,0.9340,0.9341,0.9340
probeless,20,0.9455,0.9221,0.9233,0.9213
probeless,25,0.9478,0.9244,0.9241,0.9247
probeless,30,0.9494,0.9275,0.9268,0.9286
probeless,35,0.9464,0.9238,0.9247,0.9230
probeless,40,0.9537,0.9333,0.9329,0.9337
probeless,45,0.9498,0.9285,0.9271,0.9300
probeless,50,0.9468,0.9238,0.9244,0.9237
