Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9789,0.6184,0.6501,0.6168
neft,5,0.9819,0.6172,0.6998,0.5824
neft,10,0.9807,0.5931,0.6113,0.5901
neft,15,0.9817,0.5779,0.5825,0.5772
neft,20,0.9817,0.6242,0.6229,0.6494
neft,25,0.9789,0.5756,0.5801,0.5860
neft,30,0.9791,0.5998,0.6023,0.6043
neft,35,0.9815,0.5944,0.6421,0.5821
neft,40,0.9813,0.5650,0.5810,0.5606
neft,45,0.9780,0.5799,0.5798,0.5891
neft,50,0.9774,0.5236,0.5577,0.5221
probeless,5,0.9786,0.5467,0.5421,0.5534
probeless,10,0.9825,0.5297,0.5589,0.5174
probeless,15,0.9776,0.5930,0.5965,0.6154
probeless,20,0.9805,0.5782,0.6214,0.5709
probeless,25,0.9813,0.6081,0.6049,0.6170
probeless,30,0.9778,0.6458,0.6436,0.7328
probeless,35,0.9828,0.6434,0.6535,0.6434
probeless,40,0.9788,0.5844,0.6108,0.5984
probeless,45,0.9805,0.6012,0.6986,0.5740
probeless,50,0.9807,0.5167,0.5185,0.5167
