Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9671,0.9636,0.9646,0.9629
neft,5,0.9688,0.9665,0.9659,0.9674
neft,10,0.9668,0.9641,0.9639,0.9644
neft,15,0.9682,0.9659,0.9658,0.9661
neft,20,0.9675,0.9638,0.9639,0.9638
neft,25,0.9669,0.9638,0.9638,0.9639
neft,30,0.9683,0.9659,0.9655,0.9664
neft,35,0.9688,0.9655,0.9660,0.9650
neft,40,0.9691,0.9666,0.9670,0.9663
neft,45,0.9680,0.9650,0.9648,0.9653
neft,50,0.9688,0.9660,0.9652,0.9668
probeless,5,0.9684,0.9661,0.9648,0.9676
probeless,10,0.9679,0.9661,0.9659,0.9664
probeless,15,0.9698,0.9676,0.9673,0.9680
probeless,20,0.9668,0.9638,0.9618,0.9660
probeless,25,0.9674,0.9644,0.9631,0.9662
probeless,30,0.9671,0.9648,0.9636,0.9662
probeless,35,0.9675,0.9653,0.9653,0.9655
probeless,40,0.9679,0.9655,0.9643,0.9669
probeless,45,0.9693,0.9661,0.9640,0.9685
probeless,50,0.9669,0.9635,0.9623,0.9649
