Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9475,0.9221,0.9238,0.9205
neft,5,0.9497,0.9269,0.9274,0.9264
neft,10,0.9435,0.9179,0.9195,0.9168
neft,15,0.9512,0.9282,0.9289,0.9275
neft,20,0.9426,0.9161,0.9182,0.9149
neft,25,0.9505,0.9284,0.9303,0.9271
neft,30,0.9504,0.9264,0.9277,0.9252
neft,35,0.9452,0.9208,0.9225,0.9192
neft,40,0.9457,0.9197,0.9209,0.9186
neft,45,0.9448,0.9187,0.9196,0.9181
neft,50,0.9467,0.9218,0.9205,0.9234
probeless,5,0.9477,0.9250,0.9273,0.9231
probeless,10,0.9502,0.9264,0.9270,0.9258
probeless,15,0.9454,0.9206,0.9196,0.9219
probeless,20,0.9497,0.9275,0.9270,0.9281
probeless,25,0.9431,0.9175,0.9174,0.9179
probeless,30,0.9435,0.9174,0.9178,0.9173
probeless,35,0.9500,0.9277,0.9291,0.9268
probeless,40,0.9434,0.9182,0.9197,0.9172
probeless,45,0.9508,0.9280,0.9288,0.9272
probeless,50,0.9458,0.9217,0.9206,0.9231
