Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9562,0.9401,0.9399,0.9408
neft,5,0.9517,0.9333,0.9349,0.9329
neft,10,0.9550,0.9377,0.9387,0.9373
neft,15,0.9519,0.9347,0.9361,0.9347
neft,20,0.9519,0.9325,0.9382,0.9283
neft,25,0.9567,0.9387,0.9357,0.9419
neft,30,0.9482,0.9271,0.9311,0.9252
neft,35,0.9542,0.9341,0.9368,0.9331
neft,40,0.9485,0.9280,0.9285,0.9279
neft,45,0.9597,0.9438,0.9436,0.9442
neft,50,0.9565,0.9413,0.9429,0.9404
probeless,5,0.9592,0.9419,0.9443,0.9401
probeless,10,0.9555,0.9399,0.9380,0.9421
probeless,15,0.9520,0.9352,0.9340,0.9371
probeless,20,0.9610,0.9424,0.9465,0.9396
probeless,25,0.9559,0.9401,0.9414,0.9396
probeless,30,0.9549,0.9368,0.9366,0.9373
probeless,35,0.9562,0.9390,0.9426,0.9366
probeless,40,0.9557,0.9385,0.9409,0.9365
probeless,45,0.9555,0.9389,0.9423,0.9359
probeless,50,0.9520,0.9307,0.9333,0.9290
