Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9779,0.9316,0.9277,0.9383
neft,5,0.9800,0.9322,0.9287,0.9385
neft,10,0.9797,0.9328,0.9285,0.9399
neft,15,0.9791,0.9358,0.9348,0.9378
neft,20,0.9797,0.9333,0.9303,0.9385
neft,25,0.9791,0.9345,0.9294,0.9459
neft,30,0.9796,0.9386,0.9344,0.9458
neft,35,0.9795,0.9359,0.9299,0.9468
neft,40,0.9802,0.9327,0.9288,0.9394
neft,45,0.9795,0.9321,0.9284,0.9384
neft,50,0.9807,0.9327,0.9292,0.9395
probeless,5,0.9796,0.9327,0.9281,0.9400
probeless,10,0.9783,0.9339,0.9281,0.9448
probeless,15,0.9798,0.9318,0.9284,0.9383
probeless,20,0.9790,0.9305,0.9268,0.9379
probeless,25,0.9786,0.9315,0.9285,0.9377
probeless,30,0.9786,0.9340,0.9287,0.9449
probeless,35,0.9798,0.9311,0.9272,0.9382
probeless,40,0.9789,0.9323,0.9281,0.9396
probeless,45,0.9789,0.9318,0.9277,0.9392
probeless,50,0.9788,0.9320,0.9287,0.9381
