Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9678,0.9533,0.9595,0.9482
neft,5,0.9683,0.9566,0.9595,0.9544
neft,10,0.9683,0.9522,0.9557,0.9496
neft,15,0.9682,0.9533,0.9505,0.9569
neft,20,0.9664,0.9497,0.9608,0.9409
neft,25,0.9679,0.9552,0.9589,0.9527
neft,30,0.9685,0.9494,0.9562,0.9450
neft,35,0.9683,0.9491,0.9538,0.9452
neft,40,0.9683,0.9564,0.9606,0.9533
neft,45,0.9676,0.9521,0.9546,0.9509
neft,50,0.9687,0.9564,0.9575,0.9562
probeless,5,0.9678,0.9526,0.9515,0.9546
probeless,10,0.9685,0.9500,0.9563,0.9450
probeless,15,0.9690,0.9554,0.9604,0.9514
probeless,20,0.9683,0.9544,0.9574,0.9523
probeless,25,0.9687,0.9583,0.9606,0.9567
probeless,30,0.9687,0.9561,0.9590,0.9539
probeless,35,0.9686,0.9553,0.9574,0.9541
probeless,40,0.9689,0.9576,0.9596,0.9563
probeless,45,0.9684,0.9552,0.9576,0.9536
probeless,50,0.9688,0.9573,0.9603,0.9552
