Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9296,0.8651,0.8522,0.8813
neft,5,0.9324,0.8672,0.8683,0.8667
neft,10,0.9266,0.8524,0.8520,0.8577
neft,15,0.9343,0.8711,0.8699,0.8736
neft,20,0.9315,0.8644,0.8606,0.8699
neft,25,0.9310,0.8624,0.8609,0.8658
neft,30,0.9309,0.8634,0.8649,0.8633
neft,35,0.9339,0.8726,0.8657,0.8801
neft,40,0.9353,0.8699,0.8637,0.8792
neft,45,0.9342,0.8709,0.8703,0.8729
neft,50,0.9265,0.8582,0.8477,0.8723
probeless,5,0.9337,0.8674,0.8804,0.8613
probeless,10,0.9275,0.8634,0.8526,0.8757
probeless,15,0.9289,0.8607,0.8571,0.8680
probeless,20,0.9252,0.8559,0.8450,0.8707
probeless,25,0.9283,0.8611,0.8638,0.8612
probeless,30,0.9317,0.8659,0.8777,0.8575
probeless,35,0.9268,0.8542,0.8462,0.8639
probeless,40,0.9301,0.8562,0.8703,0.8500
probeless,45,0.9287,0.8624,0.8541,0.8727
probeless,50,0.9326,0.8636,0.8674,0.8646
