Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9525,0.9327,0.9337,0.9327
neft,5,0.9509,0.9299,0.9398,0.9223
neft,10,0.9579,0.9407,0.9395,0.9421
neft,15,0.9539,0.9332,0.9361,0.9314
neft,20,0.9512,0.9317,0.9364,0.9277
neft,25,0.9522,0.9326,0.9326,0.9330
neft,30,0.9540,0.9344,0.9319,0.9375
neft,35,0.9580,0.9399,0.9400,0.9400
neft,40,0.9517,0.9335,0.9303,0.9369
neft,45,0.9494,0.9281,0.9304,0.9265
neft,50,0.9544,0.9356,0.9363,0.9354
probeless,5,0.9527,0.9336,0.9334,0.9342
probeless,10,0.9540,0.9341,0.9343,0.9341
probeless,15,0.9582,0.9397,0.9427,0.9375
probeless,20,0.9519,0.9316,0.9297,0.9335
probeless,25,0.9542,0.9351,0.9352,0.9354
probeless,30,0.9525,0.9320,0.9311,0.9334
probeless,35,0.9435,0.9205,0.9261,0.9171
probeless,40,0.9552,0.9371,0.9383,0.9362
probeless,45,0.9540,0.9346,0.9360,0.9337
probeless,50,0.9484,0.9272,0.9277,0.9280
