Model_Type,Percent,Accuracy,F1_Macro,Precision,Recall
baseline,0,0.9743,0.9271,0.9231,0.9352
neft,5,0.9747,0.9302,0.9266,0.9360
neft,10,0.9754,0.9295,0.9262,0.9355
neft,15,0.9732,0.9243,0.9191,0.9342
neft,20,0.9731,0.9299,0.9281,0.9335
neft,25,0.9738,0.9278,0.9239,0.9349
neft,30,0.9730,0.9265,0.9226,0.9347
neft,35,0.9732,0.9277,0.9236,0.9350
neft,40,0.9749,0.9304,0.9281,0.9346
neft,45,0.9731,0.9249,0.9199,0.9350
neft,50,0.9731,0.9292,0.9251,0.9350
probeless,5,0.9745,0.9258,0.9210,0.9348
probeless,10,0.9737,0.9283,0.9223,0.9421
probeless,15,0.9742,0.9298,0.9269,0.9349
probeless,20,0.9740,0.9319,0.9294,0.9352
probeless,25,0.9743,0.9313,0.9286,0.9348
probeless,30,0.9744,0.9290,0.9256,0.9346
probeless,35,0.9745,0.9301,0.9270,0.9350
probeless,40,0.9748,0.9283,0.9248,0.9355
probeless,45,0.9740,0.9271,0.9234,0.9341
probeless,50,0.9730,0.9252,0.9211,0.9343
