Experiment_Key,Task,Model_Backbone,Language,Method,Percent,F1_Macro,F1_Weighted,Source_File,Coverage_Status
XLM_arabic_ner,NER,XLM-R,Arabic,Baseline,0,0.6184,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,5,0.6172,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,10,0.5931,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,15,0.5779,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,20,0.6242,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,25,0.5756,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,30,0.5998,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,35,0.5944,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,40,0.5650,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,45,0.5799,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,NeFT,50,0.5236,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,5,0.5467,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,10,0.5297,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,15,0.5930,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,20,0.5782,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,25,0.6081,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,30,0.6458,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,35,0.6434,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,40,0.5844,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,45,0.6012,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_ner,NER,XLM-R,Arabic,Probeless,50,0.5167,,evaluation_summary_XLM_arabic_ner.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,Baseline,0,0.9562,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,5,0.9294,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,10,0.9228,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,15,0.9441,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,20,0.9497,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,25,0.9538,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,30,0.9511,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
XLM_arabic_pos,POS,XLM-R,Arabic,NeFT,35,0.9531,,evaluation_summary_XLM_arabic_pos.csv,Available in repo
